Link,ID,Brand Name,Product Name,Calories,Caffeine Blend,Creatine,Beta-Alanine,L-Theanine,L-Citrulline,L-Tyrosine,Taurine,Betaine,Citrulline Malate,Agmatine Sulfate,Nitrosigine,Theobromine,Huperzine A,Other ingredients
https://dsld.od.nih.gov/label/293702,293702,Gaspari Nutrition,SuperPump Aggression Jersey Mobster Italian Ice,0,400,0,3200,0,4000,1500,0,2000,0,1500,0,200,2,"Bioperine, Choline, Choline Bitartrate, Dimethylaminoethanol Bitartrate, N-Palmitoylethanolamide, Rauwolfia vomitoria Whole Herb Extract"
https://dsld.od.nih.gov/label/293703,293703,Gaspari Nutrition,SuperPump Aggression Mayhem Mango,0,400,0,3200,0,4000,1500,0,2000,0,1500,0,200,2,"Bioperine, Choline, Choline Bitartrate, Dimethylaminoethanol Bitartrate, N-Palmitoylethanolamide, Rauwolfia vomitoria Whole Herb Extract"
https://dsld.od.nih.gov/label/293975,293975,Cellucor,C4 Ultimate Shred Lemon Italian Ice,0,300,0,-1,0,0,-1,-1,-1,-1,0,-1,0,-1,"AlphaSize A-GPC, BioPerine, C4 Ultimate Shred & Thermogenic Matrix, Calcium, Capsimax Cayenne (Capsicum annuum) fruit extract, DygloFit (Dichrostachys glomerata) fruit extract, Folate, Folic Acid, Gingever Ginger (Zingiber officinale) root extract, Niacin, Oligonol, Rauwolfia vomitoria root extract, TeaCrine, Total Carbohydrates, Total Sugars, Velvet Bean seed extract, Vitamin B12, Vitamin B6, Vitamin C, Zembrin (Sceletium tortuosum) (aerial parts) extract"
https://dsld.od.nih.gov/label/293976,293976,Cellucor,C4 Ultimate Shred Strawberry Watermelon,0,300,0,0,0,0,-1,-1,-1,-1,0,-1,0,-1,"AlphaSize, BioPerine, C4 Ultimate Shred & Thermogenic Matrix, Calcium, Capsimax, CarnoSyn, DygloFit, Folate, Folic Acid, Gingever, Niacin, Oligonol, Rauwolfia vomitoria root extract, TeaCrine, Total Carbohydrates, Total Sugars, Velvet Bean seed extract, Vitamin B12, Vitamin B6, Vitamin C, Zembrin"
https://dsld.od.nih.gov/label/294168,294168,Ortho Molecular Products,GlycemaCORE Rich Chocolate,160,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha Linolenic Acid, Alpha Lipoic Acid, Calcium, ChromeMate, Dietary Fiber, Flaxseed Flour, Glucomannan, Guar Gum, Gum Arabic, Inulin, Iron, Potassium, Proprietary Blend, Protein, Rice Protein, Saturated Fat, Sodium, Total Carbohydrates, Total Fat, Total Sugars, Vanadyl Sulfate"
https://dsld.od.nih.gov/label/294169,294169,Ortho Molecular Products,GlycemaCORE Creamy Vanilla,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Linolenic Acid, Alpha-Lipoic Acid, Calcium, ChromeMate, Dietary Fiber, Flaxseed Flour, Glucomannan, Gum Arabic, Inulin, Iron, Potassium, Proprietary Blend, Protein, Rice Protein, Saturated Fat, Sodium, Sunfiber, Total Carbohydrates, Total Fat, Total Sugars, Vanadyl Sulfate"
https://dsld.od.nih.gov/label/295109,295109,Optimal Labs,OptimalAmino Berry Lemonade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"L-Isoleucine, L-Leucine, L-Lysine, L-Methionine, L-Phenylalanine, L-Threonine, L-Tryptophan, L-Valine, OptimalAmino EAA Blend"
https://dsld.od.nih.gov/label/295110,295110,XTEND,The Original Glacial Grape,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,"Electrolyte Blend, L-Glutamine, L-Isoleucine, L-Leucine, L-Valine, Potassium, Potassium Chloride, Sodium, Sodium Chloride, Sodium Citrate, Sugar, Total Carbohydrates, Vitamin B6"
https://dsld.od.nih.gov/label/295111,295111,XTEND,The Original Lemon-Lime Squeeze,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,"Electrolyte Blend, L-Glutamine, L-Isoleucine, L-Leucine, L-Valine, Potassium, Potassium Chloride, Sodium, Sodium Chloride, Sodium Citrate, Sugar, Total Carbohydrates, Vitamin B6"
https://dsld.od.nih.gov/label/295113,295113,XTEND,The Original Freedom Ice,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,"Electrolyte Blend, L-Glutamine, L-Isoleucine, L-Leucine, L-Valine, Potassium, Potassium Chloride, Sodium, Sodium Chloride, Sodium Citrate, Sugar, Total Carbohydrates, Vitamin B6"
https://dsld.od.nih.gov/label/295114,295114,XTEND,The Original Mango Madness,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,"Electrolyte Blend, L-Glutamine, L-Isoleucine, L-Leucine, L-Valine, Potassium, Potassium Chloride, Sodium, Sodium Chloride, Sodium Citrate, Total Carbohydrates, Total Sugars, Vitamin B6"
https://dsld.od.nih.gov/label/295115,295115,XTEND,The Original Mango Madness,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,"Electrolyte Blend, L-Glutamine, L-Isoleucine, L-Leucine, L-Valine, Potassium, Potassium Chloride, Sodium, Sodium Chloride, Sodium Citrate, Sugar, Total Carbohydrates, Vitamin B6"
https://dsld.od.nih.gov/label/295117,295117,MRI Performance,Hydro Isolate Protein Salted Caramel,110,0,0,0,0,0,0,0,0,0,0,0,0,0,"Calcium, Chloride, Cholesterol, Iron, Magnesium, Phosphorus, Potassium, Protein, Sodium, Total Carbohydrates, Total Fat, Velositol, Vitamin D"
https://dsld.od.nih.gov/label/295118,295118,MRI Performance,Hydro Isolate Protein Vanilla Bean,110,0,0,0,0,0,0,0,0,0,0,0,0,0,"Calcium, Chloride, Cholesterol, Iron, Magnesium, Phosphorus, Potassium, Protein, Sodium, Total Carbohydrates, Total Fat, Velositol, Vitamin D"
https://dsld.od.nih.gov/label/295163,295163,VMI Sports,Agmapure Unflavored,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AgmaPure
https://dsld.od.nih.gov/label/295170,295170,Designer Wellness,Designer Whey Purely Unflavored,110,0,0,0,0,0,0,0,0,0,0,0,0,0,"Added Sugars, Calcium, Cholesterol, Dietary Fiber, Magnesium, Pantothenic Acid, Phosphorus, Potassium, Protein, Riboflavin, Saturated Fat, Sodium, Thiamine, Total Carbohydrates, Total Fat, Total Sugars, Trans Fat, Vitamin B6, Vitamin D, Zinc"
https://dsld.od.nih.gov/label/295300,295300,TS Top Secret Nutrition Sport,Pump Igniter Black Fruit Punch,5,200,0,0,0,0,0,-1,-1,-1,500,0,0,0,"CarnoSyn, Choline Bitartrate, Hydromax, Potassium, Sodium, Sugar Alcohol, Total Carbohydrates"
https://dsld.od.nih.gov/label/295308,295308,XTEND,Pro Whey Isolate Chocolate Lava Cake,120,0,0,0,0,0,0,0,0,0,0,0,0,0,"Branched-Chain Amino Acids, Calcium, Calories from Fat, Cholesterol, Dietary Fiber, Iron, L-Isoleucine, L-Leucine, L-Valine, Potassium, Protein, Saturated Fat, Sodium, Sugars, Total Carbohydrates, Total Fat, Whey Protein Isolate"
https://dsld.od.nih.gov/label/295355,295355,Apollon Nutrition,Egg-cellent Premium-Grade Pure Egg Protein Salted Caramel,140,0,0,0,0,0,0,0,0,0,0,0,0,0,"Calcium, Egg Protein, Potassium, Protein, Saturated Fat, Sodium, Total Carbohydrates, Total Fat"
https://dsld.od.nih.gov/label/295356,295356,Apollon Nutrition,IsoBlast 100% Pure Whey Isolate Protein Chocolate Milk,130,0,0,0,0,0,0,0,0,0,0,0,0,0,"Calcium, Cholesterol, Cocoa, Dietary Fiber, Iron, Potassium, Protein, Saturated Fat, Sodium, Total Carbohydrates, Total Fat, Total Sugars, Trans Fat, Whey Protein Isolate"
https://dsld.od.nih.gov/label/295360,295360,Apollon Nutrition,Bare Knuckle Strawberry Matcha Tea,0,0,0,1600,0,4000,1000,0,1250,0,750,0,0,0,"AstraGin, Bare Knuckle Pump & Focus Matrix, Folate, Folic Acid, Himalayan Pink Salt, L-Alpha-Glycerylphosphorylcholine, Lion's Mane Fruiting Body Extract, NO3-T, Sodium, Total Carbohydrate, Vitamin B12, Vitamin B3, Vitamin B5, Vitamin B6"
https://dsld.od.nih.gov/label/295361,295361,Apollon Nutrition,Bare Knuckle Bloodsport Unflavored,0,0,0,0,0,4000,0,1000,0,0,0,0,0,0,"AstraGin, Grape seed extract, Himalayan Pink Salt, NO3-T, Sodium, VasoDrive-AP"
https://dsld.od.nih.gov/label/295373,295373,PS ProSupps,Hyde Max Pump Cherry Limeade,0,0,1000,3200,0,0,0,0,0,0,0,0,0,0,"L-Arginine Nitrate, L-Citruline, Vitamin C"
https://dsld.od.nih.gov/label/295374,295374,PS ProSupps,Mr Hyde Test Surge Cherry Limeade,0,300,1000,2500,50,3000,0,0,0,0,0,0,0,0,"Arginine Silicate, Boron, Citric Acid, DIM, Focus Mood Enhancement Matrix, Iconic HaloX Testosterone & Stamina Matrix, Magnesium, Niacin, Shoden, Stimulant Energy Matrix, Strength and Power Matrix, TeaCrine, Vitamin D, Zinc"
https://dsld.od.nih.gov/label/295375,295375,PS ProSupps,Mr Hyde Test Surge Pre-Workout Pineapple Mango,0,300,1000,2500,50,3000,0,0,0,0,0,0,0,0,"Arginine Silicate, Boron, Citric Acid, Diindolylmethane, Focus Mood Enhancement Matrix, Iconic HaloX Testosterone & Stamina Matrix, Magnesium, Niacin, Shoden, Stimulant Energy Matrix, Strength and Power Matrix, TeaCrine, Vitamin D, Zinc"
https://dsld.od.nih.gov/label/295376,295376,PS ProSupps,Mr Hyde Test Surge Sour Watermelon,0,300,1000,2500,50,3000,0,0,0,0,0,0,0,0,"Arginine Silicate, Boron, Citric Acid, Diindolylmethane, Focus Mood Enhancement Matrix, Iconic HaloX Testosterone & Stamina Matrix, Magnesium, Niacin, Shoden, Stimulant Energy Matrix, Strength and Power Matrix, TeaCrine, Vitamin D, Zinc"
https://dsld.od.nih.gov/label/295377,295377,PS ProSupps,Hyde Pre Workout Watermelon,0,250,1250,2500,0,3000,250,0,0,0,0,0,0,0,"N-Acetyl-L-Carnitine, Niacin, Vitamin B1, Vitamin B12, Vitamin C, Zinc"
https://dsld.od.nih.gov/label/295378,295378,PS ProSupps,Hyde Thermo Fire Melon,0,250,0,1600,0,3000,0,0,0,0,0,0,0,0,"Capsimax, N-Acetyl-L-Carnitine HCl, Vitamin B12"
https://dsld.od.nih.gov/label/295379,295379,PS ProSupps,Hyde Thermo Molten Mango,0,250,0,1600,0,3000,0,0,0,0,0,0,0,0,"Capsimax, N-Acetyl-L-Carnitine, Vitamin B12"
https://dsld.od.nih.gov/label/295380,295380,PS ProSupps,Hyde Xtreme Blue Razz Blitz,0,420,-1,-1,50,500,50,0,0,0,0,500,0,0,"Choline Bitartrate, Citric Acid, Gamma-Aminobutyric Acid, Intensity Matrix, Niacin, Strength Matrix, TeaCrine, Yohimbe Bark Extract"
https://dsld.od.nih.gov/label/295381,295381,PS ProSupps,Hyde Xtreme Cherry Popsicle,0,420,-1,-1,50,500,50,0,0,0,0,500,0,0,"Choline Bitartrate, Citric Acid, Gamma-Aminobutyric Acid, Intensity Matrix, Niacin, Strength Matrix, TeaCrine, Yohimbe Bark Extract"
https://dsld.od.nih.gov/label/295382,295382,PS ProSupps,Hyde Xtreme Cotton Candy,0,420,-1,-1,50,500,50,0,0,0,0,0,0,0,"Arginine Silicate Inositol, Choline Bitartrate, Citric Acid, Gamma-Aminobutyric Acid, Intensity Matrix, Niacin, Strength Matrix, TeaCrine, Yohimbe Bark Extract"
https://dsld.od.nih.gov/label/295383,295383,PS ProSupps,Hyde Xtreme Sour Green Apple,0,420,-1,-1,50,50,50,0,0,0,0,0,0,0,"Arginine Silicate Inositol, Choline Bitartrate, Citric Acid, Gamma-Aminobutyric Acid, Intensity Matrix, Niacin, Strength Matrix, TeaCrine, Yohimbe Bark Extract"
https://dsld.od.nih.gov/label/295384,295384,PS ProSupps,Hyde Xtreme Watermelon Rush,0,420,250,-1,50,500,50,0,0,0,0,0,0,0,"Arginine Silicate Inositol, Choline Bitartrate, Citric Acid, Gamma-Aminobutyric Acid, Intensity Matrix, Niacin, Strength Matrix, TeaCrine, Yohimbe Bark Extract"
https://dsld.od.nih.gov/label/295400,295400,PS ProSupps,Mr Hyde Signature Pre-Workout Blue Razz Popsicle,0,169,-1,-1,26,250,26,0,0,0,0,250,0,0,"Calcium, Choline Bitartrate, Gamma-Aminobutyric Acid, Intensity Matrix, Niacin, Stimulatory Matrix, Strength Matrix, TeaCrine"
https://dsld.od.nih.gov/label/295401,295401,PS ProSupps,Mr Hyde Signature Pre-Workout Lollipop Punch,0,169,-1,-1,26,250,26,0,0,0,0,250,0,0,"Calcium, Choline Bitartrate, Gamma-Aminobutyric Acid, Intensity Matrix, Niacin, Stimulatory Matrix, Strength Matrix, TeaCrine"
https://dsld.od.nih.gov/label/295424,295424,Genceutic Naturals,Plant Head Protein Banana,100,0,0,0,0,0,0,0,0,0,0,0,0,0,"Acacia Gum, Algae Protein, Amylase, Cane Sugar, Raw, Cellulase, Cranberry Protein, Dietary Fiber, Digestive Enzyme Blend, Flavor Blend, Hemp Protein, Lactase, Lipase, Medium Chain Triglycerides, Natural flavor, Pea Protein, Plant Head Protein Matrix, Protease, Protein, Rice Protein, Sodium, Stevia leaf extract, Total Carbohydrate, Total Fat, Total Sugars, added Sugars, natural Vanilla flavor"
https://dsld.od.nih.gov/label/295484,295484,Cellucor,C4 Original Fruit Punch,0,150,-1,0,0,0,-1,0,0,0,0,0,0,0,"Arginine Alpha Ketoglutarate, Calcium, CarnoSyn, Explosive Energy Blend, Folic Acid, Niacin, Sugar, TeaCrine, Total Carbohydrates, Velvet Bean Seed Extract, Vitamin B12, Vitamin B6, Vitamin C"
https://dsld.od.nih.gov/label/295485,295485,Cellucor,C4 Original Icy Blue Razz,0,150,0,0,0,0,-1,0,0,0,0,0,0,0,"Arginine Alpha Ketoglutarate, Calcium, CarnoSyn, Explosive Energy Blend, Folic Acid, NO3-T, Niacin, Sugar, TeaCrine, Total Carbohydrates, Velvet Bean Seed Extract, Vitamin B12, Vitamin B6, Vitamin C"
