Link,ID,Brand Name,Product Name,Calories,Caffeine Blend,Creatine,Beta-Alanine,L-Theanine,L-Citrulline,L-Tyrosine,Taurine,Betaine,Citrulline Malate,Agmatine Sulfate,Nitrosigine,Theobromine,Huperzine A
https://dsld.od.nih.gov/label/212741,212741,Morphogen Nutrition,Alphagen Gummy Candy,0,200,5000,3200,400,0,2000,0,0,8000,0,0,200,0.2
https://dsld.od.nih.gov/label/212746,212746,Morphogen Nutrition,Alphagen Strawberry Lemonade,0,200,5000,3200,400,0,2000,0,0,8000,0,0,200,0.2
https://dsld.od.nih.gov/label/213431,213431,'Merica Labz,Red White & Boom Let's Make America Grape Again,0,400,5000,3200,0,0,3000,0,0,8000,0,0,0,0
https://dsld.od.nih.gov/label/213438,213438,'Merica Labz,Red White & Boom 'Merican Made,0,400,5000,3200,0,0,3000,0,0,8000,0,0,0,0
https://dsld.od.nih.gov/label/213456,213456,'Merica Labz,Red White & Boom Not Your Granny's Apple,0,400,5000,3200,0,0,3000,0,0,8000,0,0,0,0
https://dsld.od.nih.gov/label/213458,213458,'Merica Labz,Red White & Boom Blood Sweat & Tears,0,400,5000,3200,0,0,3000,0,0,8000,0,0,0,0
https://dsld.od.nih.gov/label/261086,261086,MN Morphogen Nutrition,Alphagen High Energy Pre-Workout Blackberry Lemonade,0,200,5000,3200,200,0,3000,0,0,8000,0,0,200,0.2
https://dsld.od.nih.gov/label/271100,271100,'Merica Labz,A Bomb Red White & Boom Alpine Pew Pew,0,400,5000,3200,0,6000,1000,0,0,0,0,0,0,0
https://dsld.od.nih.gov/label/271113,271113,'Merica Labz,Red White & Boom Back In Black Lemonade,0,350,5000,3200,0,6000,1000,0,0,0,0,0,100,0
https://dsld.od.nih.gov/label/271640,271640,'Merica Labz,Red White & Boom Daytona Beach,0,350,5000,3200,0,6000,1000,0,0,0,0,0,100,0
https://dsld.od.nih.gov/label/271642,271642,'Merica Labz,Red White & Boom Freedom,0,350,5000,3200,0,6000,1000,0,0,0,0,0,100,0
